"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" "y"
1 14.799491 14.799491 94.279491 94.279491 -9999.000000
3 14.405582 14.405582 93.885582 93.885582 -9999.000000
10 11.601009 11.601009 91.081009 91.081009 -9999.000000
83 10.888543 10.888543 90.368543 90.368543 -9999.000000
412 10.618131 10.618131 90.098131 90.098131 -9999.000000
7897 10.455311 10.455311 89.935311 89.935311 -9999.000000
10000 16.988427 10.455311 96.468427 89.935311 -9999.000000
