"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" "y"
1 1286495.673842 1286495.673842 1286285.793842 1286285.793842 1.000000
5 682259.774251 682259.774251 682049.894251 682049.894251 1.000000
16 641093.593502 641093.593502 640883.713502 640883.713502 1.000000
21 637096.722660 637096.722660 636886.842660 636886.842660 1.000000
456 618113.181453 618113.181453 617903.301453 617903.301453 1.000000
2422 615882.349800 615882.349800 615672.469800 615672.469800 1.000000
9540 610190.408762 610190.408762 609980.528762 609980.528762 1.000000
10000 2686089.920925 610190.408762 2685880.040925 609980.528762 1.000000
