evaluations raw_y
1 71.9204224741
10 97.2457830289
evaluations raw_y
1 156.2250628448
2 76.7881256662
10 113.5047537555
evaluations raw_y
1 168.7560804423
2 136.6404692287
3 59.5838914069
6 50.4554860316
10 98.9719888219
evaluations raw_y
1 112.7254850210
2 108.5576882968
5 101.8372607329
6 96.4165173076
7 72.3379891052
9 41.0711579231
10 99.2865097122
evaluations raw_y
1 78.0592364957
2 49.0746022275
10 63.4068146060
evaluations raw_y
1 125.3413481481
2 68.8537585151
8 60.8869826034
10 138.2748001898
evaluations raw_y
1 72.4422351544
4 61.9823073263
10 110.7308747323
evaluations raw_y
1 68.1109105598
2 57.6359586243
8 49.7665443652
10 52.0008937731
evaluations raw_y
1 44.6748640661
10 143.0957871272
evaluations raw_y
1 112.0467323922
2 90.9645684340
3 28.3920724828
10 136.7744825945
