evaluations raw_y a_property a_tracked_parameter
10000 502021.8640919415 59.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 10956528.5764819644 34.0000000000 0.0000000000
2 5599232.1257448187 40.0000000000 1.0000000000
6 187427.1386224931 24.0000000000 9765625.0000000000
7 149507.3743875080 26.0000000000 60466176.0000000000
11 35715.5331017788 62.0000000000 10000000000.0000000000
802 35331.2347623957 12.0000000000 108723934648156900886891724800.0000000000
1375 30720.0663058182 1.0000000000 23981002106823020351095419437056.0000000000
1453 6133.2366282984 82.0000000000 41654906467933476022774996664320.0000000000
2320 5334.3612497511 82.0000000000 4497876082772607739433514208067584.0000000000
10000 2052454.9413763890 40.0000000000 9990004498800210080448074228347499970560.0000000000
